"Collectors of
Freshwater Fishes","List of collecting stations of Freshwater Fishes [Habitat, Locality and Geographical co-ordinates]","No. of
Species",source_page,source_file,"Order, Family, Species",Local Name,Environment,"Maximum size
(TL)",Human Use,"IUCN
Status","Barilius shacra (Hamilton, 1822)",Koksa,F,14.0 cm,Food,LC,"Pethia conchonius (Hamilton, 1822)",Kanchan Punti,"Ornamental,
Food",VU,"Anabas testudineus (Bloch, 1792)",Koi,"F, B",25.0 cm,DD,"Batasio fasciolatus Ng, 2006",Batasio,7.1 cm,Ornamental,"Gagata sexualis Tilak, 1970",Unnamed: 1,6.0 cm,Order,"Family
(No.)","Genera
(No.)","Species
(No.)"
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Osteobrama cotio (Hamilton, 1822)",Gilachaki,F,15.0 cm,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,,,,,
,,,4,FreshwaterfishdiversityofWestBengal_table_2.csv,,,,,,,"Pethia aurea Knight, 2013",,F,2.4 cm,Ornamental,NE,,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,5.1 cm,,,"Pethia gelius (Hamilton, 1822)",Gilipunti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,80 cm,,,"Pethia guganio (Hamilton, 1822)",Punti,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,3.5 cm,,,"Pethia phutunio (Hamilton, 1822)",Punti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,6.0 cm,,,"Pethia shalynius (Yazdani and Talukdar, 1975)",Bhusandi Punti,Food,VU,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",10.0 cm,,,"Pethia ticto (Hamilton, 1822)",Titpunti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,15.0 cm,,,"Puntius chola (Hamilton, 1822)",Chela Punti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,7.5 cm,,,"Puntius puntio (Hamilton, 1822)",Puntio Barb,"Ornamental,
Food",NE,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",20.0 cm,,,"Puntius sophore (Hamilton, 1822)",Punti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,10.0 cm,,,"Puntius terio (Hamilton, 1822)",Teripunti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",5.0 cm,,,"Puntius vittatus Day, 1865",Tor Mahasol,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,35.0 cm,,,"Raiamas bola (Hamilton, 1822)",Bhola,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",15.0 cm,,,"Rasbora daniconius (Hamilton, 1822)",Darikana,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",13.0 cm,,,"Rasbora rasbora (Hamilton, 1822)",Darikana,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",18.0 cm,,,"Salmophasia bacaila (Hamilton, 1822)",Chela,Food,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,10.0 cm,,,"Salmophasia horai (Silas, 1951)",Chela,Food,VU,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,12.0 cm,,,"Salmophasia phulo (Hamilton, 1822)",Phulo Chela,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,15.0 cm,,,"Salmophasia sardinella (Valenciennes, 1844)",Jhola,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,60.0 cm,,,"Schizothorax richardsonii (Gray, 1832)",,Food,VU,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,24.5 cm,,,"Securicula gora (Hamilton, 1822)",Ghorchelwa,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,24.0 cm,,,"Systomus clavatus (McClelland, 1845)",,Food,NT,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",42.0 cm,,,"Systomus sarana (Hamilton, 1822)",Swarna Punti,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,275.0 cm,,,"Tor putitora (Hamilton, 1822)",Putitor,Food,EN,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,200.0 cm,,,"Tor tor (Hamilton, 1822)",Mahasol,Food,EN,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Psilorhynchidae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,,,,"Psilorhynchus arunachalensis (Nebeshwar, Bagra
and Das, 2007)",,Ornamental,DD,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,7.0 cm,,,"Psilorhynchus balitora (Hamilton, 1822)",Balitora,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,5.8 cm,,,"Psilorhynchus nudithoracicus Tilak and Husain, 1980",,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,9.4 cm,,,"Psilorhynchus homaloptera Hora and Mukerji, 1935",Balitora,Food,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,8.2 cm,,,"Psilorhynchus sucatio (Hamilton, 1822)",Balitora,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Order: Cyprinodontiformes,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Aplocheilidae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",9.0 cm,,,"Aplocheilus panchax (Hamilton, 1822)",Kanpona,Food,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Poeciliidae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",4.0 cm,,,"Gambusia affinis (Baird and Girard, 1853) Exotic",,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",5.0 cm,,,"Poecilia reticulata Peters, 1859 Exotic",,Ornamental,NE,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Order: Mugiliformes,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Mugilidae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",45.0 cm,,,"Rhinomugil corsula (Hamilton, 1822)",Khsola,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,10.0 cm,,,"Sicamugil cascasia (Hamilton, 1822)",,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Order: Osteoglossiformes,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Notopteridae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,122.0 cm,,,"Chitala chitala (Hamilton, 1822)",Chital,"Ornamental,
Food",NT,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",60.0 cm,,,"Notopterus notopterus (Pallas, 1769)",Pholui,"Ornamental,
Food",NE,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Order: Perciformes,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Ambassidae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",11.0 cm,,,"Chanda nama Hamilton, 1822",Chanda,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,5.0 cm,,,"Parambassis baculis (Hamilton, 1822)",,Ornamental,LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",3.9 cm,,,"Parambassis lala (Hamilton, 1822)",,Ornamental,NT,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,"F, B",8.0 cm,,,"Parambassis ranga (Hamilton, 1822)",Chanda,"Ornamental,
Food",LC,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,,,,,Family: Anabantidae,,,,,,,,,,,,,,,,,,,
,,,5,FreshwaterfishdiversityofWestBengal_table_3.csv,,,,,,,,,F,30.0 cm,,,"Anabas cobojius (Hamilton, 1822)",,Food,DD,,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Badidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Badis andrewraoi Valdesalici and van der Voort,
2015",,F,3.9 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Badis assamensis Ahl, 1937",Napit,F,6.8 cm,DD,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Badis autumnum Valdesalici and van der Voort, 2015",,F,3.6 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Badis badis (Hamilton, 1822)",Botkoi,F,5.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Badis kyanos Valdesalici and van der Voort, 2015",,F,3.5 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Badis laspiophilus Valdesalici and van der Voort,
2015",,F,2.1 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Badis soraya Valdesalici and van der Voort, 2015",,F,3.2 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Badis singenensis Geetakumari and Kadu, 2011",,F,3.7 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Channidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Channa andrao Britz, 2013",,F,,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa aurantimaculata Musikasinthorn, 2000",,F,19.1 cm,DD,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa bleheri Vierke, 1991",Cheng,F,13.5 cm,NT,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa gachua (Hamilton, 1822)",Cheng,F,20.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa marulius (Hamilton, 1822)",Sal,F,183.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa orientalis Bloch and Schneider, 1801",Cheng,"F, B",33.0 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa punctata (Bloch, 1793)",Lata,"F, B",31.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Channa stewartii (Playfair, 1867)",Tel Chang,F,25.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Channa striata (Bloch, 1793)",Sol,"F, B",100.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Chichlidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Oreochromis mossambicus (Peters, 1852) Exotic",Tilapia,"F, B",39.0 cm,NT,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Oreochromis niloticus (Linnaeus, 1758) Exotic",Nilotica,"F, B",60.0 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Datniodidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Datnioides polota (Hamilton, 1822)",,"F, B",30.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Eleotridae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Eleotris fusca (Forster, 1801)",,"F, B",26.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Gobiidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Apocryptes bato (Hamilton, 1822)",,"F, B",26.0 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Brachyamblyopus brachysoma (Bleeker, 1854)",,"F, B",10.5 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Glossogobius giuris (Hamilton, 1822)",Bele,"F, B",50.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Odontamblyopus rubicundus (Hamilton, 1822)",,"F, B",25.0 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Pseudapocryptes elongatus (Cuvier, 1816)",,"F, B",20.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Nandidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Nandus nandus (Hamilton, 1822)",Bheda,"F, B",20.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Osphronemidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Ctenops nobilis McClelland, 1845",Koleehona,"F, B",10.5 cm,NT,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Osphronemus goramy Lacepède, 1801 Exotic",,"F, B",70.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Trichogaster fasciata Bloch and Schneider, 1801",Kholse,F,12.5 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Trichogaster chuna (Hamilton, 1822)",,F,7.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Trichogaster lalius (Hamilton, 1822)",Khoira,F,8.8 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Trichogaster labiosa Day, 1877",,F,9.0 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Order: Siluriformes,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Amblycipitidae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Amblyceps apangi Nath and Dey, 1989",,F,7.3 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Amblyceps arunchalensis Nath and Dey, 1989",,F,8.1 cm,EN,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Amblyceps cerinum Ng and Wright, 2010",,F,9.7 cm,NE,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Amblyceps mangois (Hamilton, 1822)",Gang magur,F,12.5 cm,LC,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Ornamental,,,,,,"Amblyceps tuberculatum Linthoingambi and
Vishwanath, 2008",Gang magur,F,9.7 cm,DD,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Arridae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,Food,,,,,,"Arius gagora (Hamilton, 1822)",,"F, B, M",91.4 cm,NT,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,,,,,,,Family: Bagridae,,,,,,,,,,,,,,,
,,,6,FreshwaterfishdiversityofWestBengal_table_4.csv,,,,,,,,,,,"Ornamental,
Food",,,,,,"Batasio batasio (Hamilton, 1822)",Batasio,F,10.0 cm,LC,,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,DD,,,,,,,,,,"Batasio merianiensis (Chaudhuri, 1913)",Batasio,6.6 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,DD,,,,,,,,,,"Batasio spilurus Ng, 2006",,4.2 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Batasio tengana (Hamilton, 1822)",Batashi,9.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Chandramara chandramara (Hamilton, 1822)",,5.0 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Hemibagrus menoda (Hamilton, 1822)",,45.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Mystus bleekeri (Day, 1877)",Tengra,15.5 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Mystus carcio (Hamilton, 1822)",,5.0 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B, M",,,LC,,,,,,,,,,"Mystus cavasius (Hamilton, 1822)",Tengra,40.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Mystus dibrugarensis (Chaudhuri, 1913)",,,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Mystus gulio (Hamilton, 1822)",Golsha tengra,46.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Mystus tengara (Hamilton, 1822)",Tangra,18.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Mystus vittatus (Bloch, 1794)",Tangra,21.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Olyra longicaudata McClelland, 1842",Bot-singhi,11.0 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Rita gogra (Sykes, 1839)",,26.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Rita rita (Hamilton, 1822)",Rita,150.0 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Sperata aor (Hamilton, 1822)",Aar,180 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Sperata seenghala (Sykes, 1839)",Tangra,150 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Chacidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Chaca chaca (Hamilton, 1822)",Checa,20.0 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Clariidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Clarias batrachus (Linnaeus, 1758)",Magur,47.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Clarias gariepinus (Burchell, 1822) Exotic",Thai magur,170.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,EN,,,,,,,,,,"Clarias magur (Hamilton, 1822)",,21.3 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Heteropneustidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Heteropneustes fossilis (Bloch, 1794)",Singi,30.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Loricariidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,NE,,,,,,,,,,"Pterygoplichthys multiradiatus (Hancock, 1828) Exotic",,50.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Pangasidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Pangasius pangasius (Hamilton, 1822)",Pangus,9.0 cm,"Ornamental,
Food",,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,EN,,,,,,,,,,"Pangasianodon hypophthalmus (Sauvage, 1878) Exotic",African pangus,130.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Plotosidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B, M",,,NE,,,,,,,,,,"Plotosus canius Hamilton, 1822",Kan magur,150.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,,,,,,,,,,,,,,Family: Schilbedidae,,,,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,NT,,,,,,,,,,"Ailia coila (Hamilton, 1822)",Kajoli,30.0 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,DD,,,,,,,,,,"Ailiichthys punctata Day, 1872",,10.0 cm,Ornamental,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,"F, B",,,LC,,,,,,,,,,"Clupisoma garua (Hamilton, 1822)",Gharya,60.9 cm,Food,,,,,,,
,,,7,FreshwaterfishdiversityofWestBengal_table_5.csv,,,,,,,,,F,,,LC,,,,,,,,,,"Clupisoma montana Hora, 1937",Kocha,29.0 cm,Food,,,,,,,
