species,family,order
Rita rita,Bagridae,Siluriformes
Sperata aor,Bagridae,Siluriformes
Sperata seenghala,Bagridae,Siluriformes
Chaca chaca,Chacidae,Siluriformes
Clarias batrachus,Clariidae,Siluriformes
Clarias gariepinus,Clariidae,Siluriformes
Clarias magur,Clariidae,Siluriformes
Heteropneustes fossilis,Heteropneustidae,Siluriformes
Pterygoplichthys multiradiatus,Loricariidae,Siluriformes
Pangasius pangasius,Pangasidae,Siluriformes
Pangasianodon hypophthalmus,Pangasidae,Siluriformes
Plotosus canius,Plotosidae,Siluriformes
Ailia coila,Schilbedidae,Siluriformes
Ailiichthys punctata,Schilbedidae,Siluriformes
Clupisoma garua,Schilbedidae,Siluriformes
Clupisoma montana,Schilbedidae,Siluriformes
Eutropiichthys murius,Schilbedidae,Siluriformes
Eutropiichthys vacha,Schilbedidae,Siluriformes
Neotropius atherinoides,Schilbedidae,Siluriformes
Silonia silondia,Schilbedidae,Siluriformes
Ompok bimaculatus,Siluridae,Siluriformes
Ompok pabda,Siluridae,Siluriformes
Ompok pabo,Siluridae,Siluriformes
Pterocryptis berdmorei,Siluridae,Siluriformes
Wallago attu,Siluridae,Siluriformes
Bagarius bagarius,Sisoridae,Siluriformes
Bagarius yarrelli,Sisoridae,Siluriformes
Conta pectinata,Sisoridae,Siluriformes
Erethistes pusillus,Sisoridae,Siluriformes
Erethistoides infuscatus,Sisoridae,Siluriformes
Erethistoides montana,Sisoridae,Siluriformes
Gagata cenia,Sisoridae,Siluriformes
Gagata gagata,Sisoridae,Siluriformes
Gagata dolichonema,Sisoridae,Siluriformes
Glyptothorax cavia,Sisoridae,Siluriformes
Glyptothorax dikrongensis,Sisoridae,Siluriformes
Glyptothorax gracilis,Sisoridae,Siluriformes
Glyptothorax indicus,Sisoridae,Siluriformes
Glyptothorax radiolus,Sisoridae,Siluriformes
Glyptothorax striatus,Sisoridae,Siluriformes
Glyptothorax telchitta,Sisoridae,Siluriformes
Gogangra viridescens,Sisoridae,Siluriformes
Hara hara,Sisoridae,Siluriformes
Hara horai,Sisoridae,Siluriformes
Hara jerdoni,Sisoridae,Siluriformes
Hara koladynensis,Sisoridae,Siluriformes
Nangra assamensis,Sisoridae,Siluriformes
Nangra nangra,Sisoridae,Siluriformes
Pseudolaguvia ferula,Sisoridae,Siluriformes
Pseudolaguvia ferruginea,Sisoridae,Siluriformes
Pseudolaguvia flavida,Sisoridae,Siluriformes
Pseudolaguvia foveolata,Sisoridae,Siluriformes
Pseudolaguvia ribeiroi,Sisoridae,Siluriformes
Pseudolaguvia shawi,Sisoridae,Siluriformes
Sisor barakensis,Sisoridae,Siluriformes
Sisor rabdophorus,Sisoridae,Siluriformes
Pillaia indica,Chaudhuriidae,Synbranchiformes
Macrognathus aculeatus,Mastacembelidae,Synbranchiformes
Macrognathus aral,Mastacembelidae,Synbranchiformes
Macrognathus morehensis,Mastacembelidae,Synbranchiformes
Macrognathus pancalus,Mastacembelidae,Synbranchiformes
Mastacembelus armatus,Mastacembelidae,Synbranchiformes
Monopterus albus,Synbranchidae,Synbranchiformes
Ophisternon bengalense,Synbranchidae,Synbranchiformes
Microphis cuncalus,Syngnathidae,Syngnathiformes
Microphis deocata,Syngnathidae,Syngnathiformes
Leiodon cutcutia,Tetraodontidae,Tetradontiformes
Tetraodon fluviatilis,Tetraodontidae,Tetradontiformes
